
AMDuProfPcm Report

Processor Name:,AMD EPYC 7302P 16-Core Processor               
System:,Family(0x17) Model(0x31) Stepping(0)
Operating System:,Linux 5.15.0-122-generic
Number of Sockets :,1
Number of CCDs :,4
Number of Core Complexes(CCX) :,8
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCD, CCX, Core(s)
0,0,0, 0 1 16 17
0,0,1, 2 3 18 19
0,1,2, 4 5 20 21
0,1,3, 6 7 22 23
0,2,4, 8 9 24 25
0,2,5, 10 11 26 27
0,3,6, 12 13 28 29
0,3,7, 14 15 30 31

Core P0 state frequency (MHz):,2994.607422
Multiplex interval for core (ms):,4
Multiplex interval for l3 (ms):,4
Multiplex interval for df (ms):,4
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,1
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m memory -a -d 10 -o /users/patrickt/mnt/sdb/starling/memory_bandwidth/amd_results/10_results.csv"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2024/11/21 19:51:56:867
DF METRICS,,,
System (Aggregated),,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
10.08,8.78,1.30,
10.15,8.83,1.32,
10.19,8.87,1.32,
10.19,8.89,1.31,
9.92,8.65,1.27,
9.32,8.14,1.18,
9.35,8.16,1.19,
9.43,8.23,1.20,
9.43,8.24,1.20,
9.49,8.29,1.21,
